SYMBOL,bb_Window,rsi_Window,stddev_Window,Returns,Sharpe_Ratio,Profit_Factor,Win_Rate,Number_of_Trade,Max_Drawdown,Mean_DrawDown,Recovery_Factor,R_Squared,Event_Over_Fitting,Parameter
DOGEUSDT,20,10,3,0.00047995030000000117,0.7099504739889413,1.3375983691184807,65.3061224489796,49,0.07386448325334971,-0.02188460877347493,0.6497714176836615,0.5946380785703664,36.325715600136064,bb_20-rsi_10-stddev_3
DOGEUSDT,20,10,4,-0.0009364831,-1.3086267536649678,0.05967888533839725,50.0,2,0.12967115658935047,-0.044891585062631786,0.7221984631213745,0.8307505704446153,,bb_20-rsi_10-stddev_4
DOGEUSDT,20,10,5,0.0,inf,inf,0.0,0,0.0,0.0,inf,inf,,bb_20-rsi_10-stddev_5
DOGEUSDT,20,12,2,-0.0008061031999999975,-1.1289724345330283,0.6789303807844285,58.69565217391305,92,0.13100820617214515,-0.04914543795804431,0.6153074097822359,0.8201453398445726,-10.384334660872238,bb_20-rsi_12-stddev_2
DOGEUSDT,20,12,3,0.0003364933000000009,0.49583108192790837,1.2424249519535164,65.0,40,0.09660379386576823,-0.02978516062707295,0.34832306945166264,0.3475902400213082,42.29586740657233,bb_20-rsi_12-stddev_3
DOGEUSDT,20,12,4,-0.0009364831,-1.3086267536649678,0.05967888533839725,50.0,2,0.12967115658935047,-0.044891585062631786,0.7221984631213745,0.8307505704446153,,bb_20-rsi_12-stddev_4
DOGEUSDT,20,12,5,0.0,inf,inf,0.0,0,0.0,0.0,inf,inf,,bb_20-rsi_12-stddev_5
DOGEUSDT,20,14,2,-0.0002908301999999989,-0.4040821568225667,0.846686769630306,67.6056338028169,71,0.1076660473193991,-0.03869748451427733,0.2701224826590226,0.27730281606895313,-43.011181094673184,bb_20-rsi_14-stddev_2
DOGEUSDT,20,14,3,0.0003118561000000006,0.5026832994394418,1.2885540076763031,64.70588235294117,34,0.07954607978607475,-0.028154363089372945,0.39204458703519135,0.22142803321449023,33.48085735696681,bb_20-rsi_14-stddev_3
DOGEUSDT,20,14,4,-0.0009364831,-1.3086267536649678,0.05967888533839725,50.0,2,0.12967115658935047,-0.044891585062631786,0.7221984631213745,0.8307505704446153,,bb_20-rsi_14-stddev_4
DOGEUSDT,20,14,5,0.0,inf,inf,0.0,0,0.0,0.0,inf,inf,,bb_20-rsi_14-stddev_5
TRXUSDT,10,10,2,-0.0005625075000000005,-3.2438495372895684,0.47764101183069335,55.04587155963303,109,0.061971192861765,-0.023303231493515413,0.9076919033247405,0.8646967933582496,-5.112826317871328,bb_10-rsi_10-stddev_2
TRXUSDT,10,10,3,0.0,inf,inf,0.0,0,0.0,0.0,inf,inf,,bb_10-rsi_10-stddev_3
TRXUSDT,10,10,4,0.0,inf,inf,0.0,0,0.0,0.0,inf,inf,,bb_10-rsi_10-stddev_4
TRXUSDT,10,10,5,0.0,inf,inf,0.0,0,0.0,0.0,inf,inf,,bb_10-rsi_10-stddev_5
TRXUSDT,10,12,2,-0.0005017680000000007,-2.8859224020722554,0.45571690440887586,58.75,80,0.057467107387332295,-0.021155252897172815,0.8731394754534095,0.8486458075431527,-4.203137705074847,bb_10-rsi_12-stddev_2
TRXUSDT,10,12,3,0.0,inf,inf,0.0,0,0.0,0.0,inf,inf,,bb_10-rsi_12-stddev_3
TRXUSDT,10,12,4,0.0,inf,inf,0.0,0,0.0,0.0,inf,inf,,bb_10-rsi_12-stddev_4
TRXUSDT,10,12,5,0.0,inf,inf,0.0,0,0.0,0.0,inf,inf,,bb_10-rsi_12-stddev_5
TRXUSDT,10,14,2,-0.00042807690000000036,-2.444846830970589,0.4448491908055528,53.333333333333336,60,0.052514695279759493,-0.019206131104520918,0.8151564009264891,0.8467581342239495,-4.033139840061437,bb_10-rsi_14-stddev_2
TRXUSDT,10,14,3,0.0,inf,inf,0.0,0,0.0,0.0,inf,inf,,bb_10-rsi_14-stddev_3
TRXUSDT,10,14,4,0.0,inf,inf,0.0,0,0.0,0.0,inf,inf,,bb_10-rsi_14-stddev_4
TRXUSDT,10,14,5,0.0,inf,inf,0.0,0,0.0,0.0,inf,inf,,bb_10-rsi_14-stddev_5
