SYMBOL,bb_Window,rsi_Window,Returns,Sharpe_Ratio,Profit_Factor,Win_Rate,Number_of_Trade,Max_Drawdown,Mean_DrawDown,Recovery_Factor,R_Squared,Event_Over_Fitting,Parameter
LUNCUSDT,10,16,4.3401240000000003e-07,0.6785056995212776,1.342266118656961,68.88888888888889,45,0.0001029393073226359,-4.1410700565386076e-05,0.42161970124755505,0.18488990991560506,29.390350367869658,bb_10-rsi_16
LUNCUSDT,10,18,3.9323280000000034e-07,0.57002502573115,1.2550926703172411,67.74193548387096,31,0.00010541908561645386,-4.431860834995491e-05,0.37301860256187275,0.23592397726552672,32.87586386486577,bb_10-rsi_18
LUNCUSDT,10,20,1.4294960000000008e-07,0.21665573562262244,1.1137716263196096,66.66666666666666,24,8.7174766993936e-05,-3.142332681876319e-05,0.16398047844503427,0.15436256478164656,,bb_10-rsi_20
LUNCUSDT,20,10,-1.5052440000000143e-07,-0.20968945167431585,0.9438737962461347,64.75409836065575,122,8.30905317994457e-05,-4.283013635063365e-05,0.1811571026688333,0.048759381657983214,-210.49535557025962,bb_20-rsi_10
LUNCUSDT,20,12,4.82543199999999e-07,0.6800039737549772,1.2124327028322872,67.77777777777779,90,8.103189986785608e-05,-3.4250963606140816e-05,0.595497823433627,0.29099884837377443,55.86124413316774,bb_20-rsi_12
LUNCUSDT,20,14,5.660538999999998e-07,0.758468382895871,1.2947363691030942,65.27777777777779,72,7.367803684932284e-05,-2.7765476615852267e-05,0.7682803779878431,0.5253113833823124,30.04257368423748,bb_20-rsi_14
LUNCUSDT,20,16,2.0412930000000004e-07,0.3272470855363592,1.127101338587845,68.0,50,0.00010367717490078476,-4.583657484573294e-05,0.19688933479846868,0.01837117221375706,57.85315973748009,bb_20-rsi_16
LUNCUSDT,20,18,2.383039000000002e-07,0.36133702022020936,1.1482027492372786,67.56756756756756,37,0.00010541912114359064,-4.392654403738379e-05,0.22605377223303555,0.29623920566267914,43.26733721101494,bb_20-rsi_18
LUNCUSDT,20,20,2.3203109999999996e-07,0.366183901629328,1.1818171489046632,70.0,30,9.230963922135516e-05,-2.6714255860567595e-05,0.2513617233879528,0.3310262660846498,33.640102555217794,bb_20-rsi_20
LUNCUSDT,30,10,-2.8528870000000056e-07,-0.39272058471245863,0.8968963822893856,62.60869565217392,115,0.00010669324772560884,-5.361618650802273e-05,0.2673915229703189,0.0048244641604977545,-111.12481409183056,bb_30-rsi_10
LUNCUSDT,30,12,2.1212329999999942e-07,0.2885333142024486,1.0908235165366276,64.77272727272727,88,9.54716866119476e-05,-4.743597917987855e-05,0.22218451095578914,0.11664031294085464,124.25062781882053,bb_30-rsi_12
LUNCUSDT,30,14,2.4432670000000033e-07,0.33205409073697884,1.1250121263349202,61.42857142857143,70,0.00010565623884684072,-5.0890620662948224e-05,0.231246827131691,0.14008911712155103,67.6689653648167,bb_30-rsi_14
LUNCUSDT,30,16,1.7099790000000023e-07,0.28136342915518725,1.1031634339414407,63.46153846153846,52,0.00012415103597396282,-5.4545552730680575e-05,0.13773376811439753,0.0034867012510029216,71.82489375600498,bb_30-rsi_16
LUNCUSDT,30,18,1.8287919999999994e-07,0.27896094858924425,1.1046161985117067,64.1025641025641,39,0.00011747591780464361,-5.077048623671757e-05,0.15567377843697172,0.21810355328978193,59.427832142747846,bb_30-rsi_18
LUNCUSDT,30,20,1.2536210000000019e-07,0.20111730268066436,1.0897529429823483,67.74193548387096,31,0.00010436644100053627,-3.3595227518791357e-05,0.12011725109928394,0.16674899607105043,64.33950133253974,bb_30-rsi_20
LUNCUSDT,40,10,-5.239850000000068e-08,-0.07539543298466665,0.978911452045241,65.45454545454545,110,7.420850780537336e-05,-3.251316206161932e-05,0.0706098283736229,0.05061388446133119,-466.0224624750666,bb_40-rsi_10
LUNCUSDT,40,12,1.4884549999999917e-07,0.21133138975423565,1.0658703627643873,65.21739130434783,92,8.643696248755717e-05,-3.899260068887488e-05,0.17220121544810865,0.09392208316581663,148.1639431491041,bb_40-rsi_12
LUNCUSDT,40,14,4.908353000000002e-07,0.7005271536884733,1.2525731873117965,62.66666666666667,75,8.06410618947595e-05,-3.375186791391389e-05,0.6086667120536732,0.39988682380558593,39.335503681173655,bb_40-rsi_14
LUNCUSDT,40,16,3.1987010000000006e-07,0.5209523808403665,1.194904872474051,64.81481481481481,54,0.00011676404713112376,-5.1331956531326504e-05,0.2739457117658761,0.06360044162870737,47.04459216413155,bb_40-rsi_16
LUNCUSDT,40,18,4.2699999999999436e-08,0.06555308654093912,1.0239695116792988,63.1578947368421,38,0.00011747591880384434,-5.3157255361873424e-05,0.03634787489621414,0.12492886776609746,247.99636533957903,bb_40-rsi_18
LUNCUSDT,40,20,2.3742499999999645e-08,0.0382381878049156,1.0166022215405195,66.66666666666666,30,0.00010436644228839498,-3.4592317104674025e-05,0.022749170594885453,0.1111268984243392,328.7585553332662,bb_40-rsi_20
OMUSDT,10,10,0.008512551000000009,1.9679932123030532,1.7878445344981484,69.81132075471697,106,0.36152852932404,-0.07388956573982525,2.3546000687459334,0.9017849080939938,15.214592229755791,bb_10-rsi_10
OMUSDT,10,12,0.008965223800000002,2.1885990126815673,2.195076832924165,68.4931506849315,73,0.32365736071651163,-0.06197272520563631,2.7699737092809564,0.8850908249701542,14.52651522207399,bb_10-rsi_12
OMUSDT,10,14,0.0036750729000000005,0.9216303603837709,1.5490259710575387,71.15384615384616,52,0.38304233577121094,-0.07851329651393192,0.9594430058496461,0.7446621607852483,25.242775456236515,bb_10-rsi_14
OMUSDT,10,16,0.008687186700000002,2.458569281743421,3.379812191460776,82.05128205128204,39,0.3165198369614153,-0.037189023287798564,2.7445947095755003,0.8992345868662144,8.00912682122971,bb_10-rsi_16
OMUSDT,10,18,0.007461018899999998,1.9927786721353555,2.4029359477028316,79.3103448275862,29,0.3652973771879342,-0.05127716073889464,2.042450717121228,0.889965321207635,6.934251299108763,bb_10-rsi_18
OMUSDT,10,20,0.012041769899999997,2.9671954372066907,3.637544749806838,79.16666666666666,24,0.31515681961619135,-0.044312314698694205,3.82088190719302,0.841454949286642,,bb_10-rsi_20
OMUSDT,20,10,0.005483411800000004,1.2602634871033083,1.468785853322596,64.61538461538461,130,0.3886202884166079,-0.10990717441189929,1.4109947327612729,0.8060240842381076,23.44677347291943,bb_20-rsi_10
