SYMBOL,fastsma_Window,Returns,Sharpe_Ratio,Profit_Factor,Win_Rate,Number_of_Trade,Max_Drawdown,Mean_DrawDown,Recovery_Factor,R_Squared,Event_Over_Fitting,Parameter
ETHUSDT,60,0.39161734681234334,1.68613293135556,1.5164760534845745,36.0,25,27.766774014320106,-10.781788428871373,1.4103811505448032,0.3895778612379588,,fastsma_60
ETHUSDT,70,0.6406519729022984,2.4258539196740663,1.9847443584886995,44.44444444444444,27,17.762786944968,-6.9968238984417415,3.6067086481819675,0.6998158726051438,18.42120432793928,fastsma_70
ETHUSDT,80,0.4471392800127809,1.8584150999491145,1.619572370997773,50.0,30,25.264188402591216,-9.074373466940605,1.769854122711182,0.5036998730837449,19.98717303844384,fastsma_80
DOGEUSDT,10,0.00017098909999999995,0.2709479315719387,1.1350098839851652,23.076923076923077,39,0.09409904543599135,-0.04560554830619877,0.1817118326841171,0.351838885074498,149.83060499177978,fastsma_10
DOGEUSDT,20,0.0001306839,0.20197967773949255,1.0893608754642796,26.666666666666668,30,0.09466981364807392,-0.04795636443113615,0.13804178434934394,0.18901567674201314,190.80465918142883,fastsma_20
DOGEUSDT,30,0.0007723244999999995,1.223813740214448,2.0040651452890654,41.66666666666667,24,0.0718621086105653,-0.02229917717251545,1.0747311969168283,0.72372076683761,,fastsma_30
DOGEUSDT,40,0.00017688539999999891,0.27284646800432233,1.1519604646817385,30.434782608695656,23,0.08546165796884386,-0.037610581257306014,0.2069763262309804,0.33035296439044326,,fastsma_40
DOGEUSDT,50,0.00046563930000000005,0.7229344995538743,1.4713521827250644,32.0,25,0.07416993685626094,-0.028838507269088483,0.6278005884006544,0.5499240251964448,,fastsma_50
DOGEUSDT,60,0.0006771473999999999,1.0768622841604691,1.828229658575796,33.33333333333333,27,0.06743757246516768,-0.021583919683765315,1.0041099868322731,0.632074945822694,29.06178876268298,fastsma_60
DOGEUSDT,70,0.0008272203000000001,1.3125411804049951,2.3624492058723523,28.000000000000004,25,0.08075922641465061,-0.01877780132613306,1.02430438814844,0.7586414167570008,,fastsma_70
