SYMBOL,Timeframe,Returns,Sharpe_Ratio,Number_of_Trade,Max_Drawdown,Parameter
DOTUSDT,30min,1.0093410000000107,0.21031287195152024,77,-4.904997984358161,DOTUSDT_30min
XLMUSDT,30min,0.22638269999999985,0.7879995606575099,75,-0.3512139954475418,XLMUSDT_30min
TRXUSDT,30min,0.1575741500000001,1.1126933845623947,75,-0.1699711049828886,TRXUSDT_30min
PEPEUSDT,30min,1.4575959999999974e-05,0.9394356321992291,81,-1.143838721718626e-05,PEPEUSDT_30min
BTCUSDT,1h,118.94339561298474,2.2056325090357123,32,-18.06741634005902,BTCUSDT_1h
DOGEUSDT,1h,0.27558172999999997,1.2484432049613827,37,-0.17947982800522655,DOGEUSDT_1h
ETHUSDT,1h,47.996800329431764,1.0770303845808844,41,-32.774408757103856,ETHUSDT_1h
LTCUSDT,1h,11.041495287650406,0.45139606884308714,44,-37.0603028446989,LTCUSDT_1h
LUNCUSDT,1h,7.601479999999963e-06,0.06426529268412685,38,-0.00011894412977837418,LUNCUSDT_1h
HBARUSDT,1h,0.25537081999999994,1.3395489702497971,32,-0.1709683265359501,HBARUSDT_1h
OMUSDT,1h,1.3587885099999983,0.675793022603426,40,-2.307117927453885,OMUSDT_1h
BNBUSDT,1h,74.5268255050222,1.4078991502760732,38,-23.129123237762435,BNBUSDT_1h
SOLUSDT,1h,108.68869798886458,1.4263888547422685,36,-30.607083227359166,SOLUSDT_1h
ZENUSDT,1h,17.950890000000005,1.0791042820674284,35,-14.826446762391788,ZENUSDT_1h
NEARUSDT,1h,3.4195929999999986,0.7104488487234736,31,-4.681492872212864,NEARUSDT_1h
APTUSDT,1h,4.089646099999998,0.4786323747234731,36,-4.95444648710702,APTUSDT_1h
ATOMUSDT,1h,2.830666,0.5489465607620465,32,-4.652687652384873,ATOMUSDT_1h
ALGOUSDT,1h,0.34239020000000003,1.3030677007399614,36,-0.20686366975233195,ALGOUSDT_1h
SUIUSDT,1h,1.1360911000000007,0.5473576195853935,37,-1.9268066232892522,SUIUSDT_1h
DOTUSDT,1h,4.029968,0.7759611809078787,30,-4.050709836643418,DOTUSDT_1h
XLMUSDT,1h,0.3295542999999998,1.108770431542492,37,-0.23177165391244248,XLMUSDT_1h
TRXUSDT,1h,0.11655173999999993,0.8359722623070241,38,-0.20037396292831394,TRXUSDT_1h
PEPEUSDT,1h,1.1029040000000012e-05,0.6840028892946546,44,-1.2677567094230925e-05,PEPEUSDT_1h
BTCUSDT,2h,70.97000660674544,1.5637150631916612,18,-29.798359295104365,BTCUSDT_2h
DOGEUSDT,2h,0.3036407,1.3852166795341467,15,-0.12305760540858694,DOGEUSDT_2h
ETHUSDT,2h,30.680196787883503,0.811645790131691,19,-37.67801433403734,ETHUSDT_2h
LTCUSDT,2h,-5.4257480911765015,0.1767677609466928,27,-40.22990880755949,LTCUSDT_2h
LUNCUSDT,2h,3.1334819999999985e-05,0.2639905636498407,16,-0.00011298527399535638,LUNCUSDT_2h
HBARUSDT,2h,0.21795979999999995,1.0760432653313248,16,-0.17855890965460416,HBARUSDT_2h
OMUSDT,2h,2.611239579999999,1.1809365555109352,16,-1.1538065807679025,OMUSDT_2h
BNBUSDT,2h,51.07869759605676,1.063666783772918,20,-28.506132120825896,BNBUSDT_2h
SOLUSDT,2h,64.7674746555927,1.0939061231687603,22,-40.65057830660235,SOLUSDT_2h
ZENUSDT,2h,10.245660000000015,0.6513364596301502,19,-17.973715153005823,ZENUSDT_2h
NEARUSDT,2h,4.446695,0.9103161487186496,19,-3.5960704475929903,NEARUSDT_2h
APTUSDT,2h,2.4335455999999986,0.30513305936146307,21,-6.359773348612416,APTUSDT_2h
ATOMUSDT,2h,1.312620000000007,0.2757852202862493,19,-4.578942262879248,ATOMUSDT_2h
ALGOUSDT,2h,0.25109800000000004,0.9465830437945306,17,-0.23627805486340928,ALGOUSDT_2h
SUIUSDT,2h,1.3134375999999985,0.5934451991533387,21,-2.0087784091316765,SUIUSDT_2h
DOTUSDT,2h,0.2597019999999999,0.07439200221354261,22,-6.234222379162016,DOTUSDT_2h
XLMUSDT,2h,0.36783000000000005,1.1863674876282968,18,-0.22075921432658216,XLMUSDT_2h
TRXUSDT,2h,0.1278081899999999,0.7392847979305903,19,-0.2045138991060251,TRXUSDT_2h
PEPEUSDT,2h,1.4205570000000001e-05,0.8584808757207961,16,-9.05985794127999e-06,PEPEUSDT_2h
BTCUSDT,4h,86.17408976435235,1.7161603467719464,9,-28.286825053566666,BTCUSDT_4h
DOGEUSDT,4h,0.27562261,1.2674899130271307,8,-0.15409591536852768,DOGEUSDT_4h
ETHUSDT,4h,-5.484611146891396,0.08747030948597807,11,-40.79995514771967,ETHUSDT_4h
LTCUSDT,4h,-13.861728463191781,0.04511002739356879,17,-48.21156500654591,LTCUSDT_4h
LUNCUSDT,4h,4.878664000000002e-05,0.4031889012711078,8,-0.00011037511101758339,LUNCUSDT_4h
HBARUSDT,4h,0.21370277,0.9790488348000435,8,-0.14965192495969662,HBARUSDT_4h
OMUSDT,4h,2.6072544300000007,1.1152710437465727,9,-1.043260114910579,OMUSDT_4h
BNBUSDT,4h,35.27070962452585,0.8247487233539581,14,-35.375597027822096,BNBUSDT_4h
SOLUSDT,4h,33.132529802150614,0.7498721958047184,13,-48.678700948932836,SOLUSDT_4h
ZENUSDT,4h,11.37755,0.6674318854849094,9,-20.109463283207084,ZENUSDT_4h
NEARUSDT,4h,0.6851200000000004,0.1536430749561696,14,-5.691888730689735,NEARUSDT_4h
APTUSDT,4h,4.761957200000001,0.5498035328912753,9,-6.7505987508205685,APTUSDT_4h
ATOMUSDT,4h,0.6939190000000011,0.1561345058059526,8,-6.167286478638748,ATOMUSDT_4h
ALGOUSDT,4h,0.06642380000000003,0.24786800813781185,12,-0.3321269550072054,ALGOUSDT_4h
SUIUSDT,4h,2.760062499999999,1.0418824880433997,10,-1.2993394296630962,SUIUSDT_4h
DOTUSDT,4h,3.380967,0.6621145373315601,10,-4.31991144187477,DOTUSDT_4h
XLMUSDT,4h,0.3241445,1.055088146023297,10,-0.23219660868375736,XLMUSDT_4h
TRXUSDT,4h,0.11742821999999992,0.6577337029498388,8,-0.20802621532052568,TRXUSDT_4h
PEPEUSDT,4h,1.0188120000000003e-05,0.5997674841279135,7,-1.3896256653651574e-05,PEPEUSDT_4h
BTCUSDT,6h,70.20762775708621,1.4778923355480378,7,-31.298516607723386,BTCUSDT_6h
DOGEUSDT,6h,0.17185044999999996,0.7657951401707845,6,-0.2588950987846439,DOGEUSDT_6h
ETHUSDT,6h,-8.671868046444445,0.0002703370420182045,8,-48.88667011602398,ETHUSDT_6h
LTCUSDT,6h,0.36806938199666206,0.28848530920538157,11,-42.110487536769234,LTCUSDT_6h
LUNCUSDT,6h,-1.5152550000000005e-05,-0.1610248464474395,8,-0.00012953995852336967,LUNCUSDT_6h
HBARUSDT,6h,0.29701551,1.3924025839516572,5,-0.13213517019840695,HBARUSDT_6h
OMUSDT,6h,2.9445500799999995,1.216435509114043,7,-0.9035781440629047,OMUSDT_6h
BNBUSDT,6h,58.31852448733063,1.1232030809335483,7,-35.60265896465757,BNBUSDT_6h
SOLUSDT,6h,36.77303695703149,0.7939796801683967,6,-57.53197903911943,SOLUSDT_6h
ZENUSDT,6h,4.479979999999998,0.3111971132465754,7,-23.254560310282315,ZENUSDT_6h
NEARUSDT,6h,0.2680910000000001,0.07504748057906944,6,-5.111056319821194,NEARUSDT_6h
APTUSDT,6h,3.4298452,0.4085458017629654,7,-7.700029408468416,APTUSDT_6h
ATOMUSDT,6h,1.1198780000000017,0.23362830995356912,6,-4.72175813349946,ATOMUSDT_6h
ALGOUSDT,6h,0.13411670000000014,0.45937760617358814,9,-0.2994281990709487,ALGOUSDT_6h
SUIUSDT,6h,3.7455044000000006,1.3640405218545248,6,-1.2854734675748718,SUIUSDT_6h
DOTUSDT,6h,1.0028720000000009,0.2117642791037069,6,-5.102650771865724,DOTUSDT_6h
XLMUSDT,6h,0.25617200000000007,0.8214391218311172,8,-0.275220515197121,XLMUSDT_6h
TRXUSDT,6h,0.11450752000000003,0.5681738866679433,5,-0.20804928628617314,TRXUSDT_6h
PEPEUSDT,6h,1.0167099999999995e-05,0.6037456909323629,6,-1.2759997104616595e-05,PEPEUSDT_6h
BTCUSDT,8h,59.72516672139534,1.3377010268688025,5,-36.26135670352015,BTCUSDT_8h
DOGEUSDT,8h,0.23877638999999987,1.09402698107235,6,-0.16188743763499058,DOGEUSDT_8h
ETHUSDT,8h,-14.187278240818484,-0.1620486431206339,7,-51.73456994578965,ETHUSDT_8h
